OBJECTID *,Shape *,Borough,Block,Lot,CD,BCT2020,BCTCB2020,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Length,Shape_Area,OBJECTID,Join_Count,TARGET_FID,uid,BOROUGH,BLOCK,LOT,BBL,MAPBBL,CD,HNUM,SNAME,ADDRESS,PARCELNAME,AGENCY,USECODE,USETYPE,OWNERSHIP,CATEGORY,EXPANDCAT,EXCATDESC,LEASED,FINALCOM,AGREEMENT,XCOORD,YCOORD,LATITUDE,LONGITUDE,DCPEDITED,Shape_Length,Shape_Area
1,Polygon,SI,1306,14,501,5032300,50323000001,323,1, ,49,0, ,0,0,0, , , , RICHMOND TERRACE,M2-1,M3-1,M1-1, , , , , , , ,Y,V7,11,2,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,621165,0,0,0,0,0,0,0,0,0,7,0,0,0,0,320,1600,0,0, ,0,Y,5,0,2828700,2828700,2828700,0,0,0, , ,0,0,2,0,5,5013060014,0,323,934911,173705,20c,Y,502 269,50603, ,0, ,1,1,1,24v1,t,40.643319,-74.177788, ,0,3651.965832,396362.3466,1,0,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3651.965832,396362.3466
2,Polygon,SI,1309,1,501,5032300,50323001000,323,1000,31,49,10303,E158,121,51,100,5,1,4C,3599 RICHMOND TERRACE,M3-1, , , , , , , , , ,N,V1,11,0, ,CMA CGM SA,6188,0,0,0,0,0,0,0,0,0,7,1,0,0,0,34,182,0,0, ,0,N,5,5,77400,77400,0,0,0,0, , ,0,0,2,0,5,5013090001,0,323,934735,172939,20c, ,502 269,50603, ,0, ,1,1,1,24v1, ,40.641216,-74.178416, ,0,438.733111,6755.839016,2,0,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,438.733111,6755.839016
3,Polygon,SI,1309,10,501,5032300,50323001000,323,1000,31,49,10303,E158,121,51,100,5,1,4C,3625 RICHMOND TERRACE,M3-1, , , , , , , , , ,N,V1,11,3,X,PORT AUTHORITY OF NY AND NJ,1698840,0,0,0,0,0,0,0,0,0,7,0,0,0,0,39,2800,0,0, ,0,Y,5,0,3643200,3643200,3643200,0,0,0, , ,0,0,2,0,5,5013090010,0,323,934003,173761,20a,Y,502 269,50603, ,0, ,1,1,1,24v1, ,40.643468,-74.18106, ,0,5761.533193,1692686.129,3,0,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,5761.533193,1692686.129
4,Polygon,SI,1394,20,501,5032300,50323001012,323,1007,31,49,10303,E158,121,51,100,5,1,4C, MC KINLEY AVENUE,M2-1, , , , , , , , , ,N,U6,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,22794,0,0,0,0,0,0,0,0,0,7,0,0,0,0,172,102,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013940020,0,323,933496,168666,20a, ,502 273,50603, ,0, ,1,1,1,24v1,t,40.62948,-74.182849, ,0,648.149365,22794.41663,4,2,4,4d67e209b4429ceafadc53a1aa5af7d0,5,1394,20,5013940020,5013940020,501, ,MC KINLEY AVENUE,MC KINLEY AVENUE, ,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE, ,D, ,933496,168666,40.629481,-74.182849, ,648.149365,22794.41663
5,Polygon,SI,1394,35,501,5032300,50323001015,323,1012,31,49,10303,E158,121,51,100,5,1,4C, MC KINLEY AVENUE,M2-1, , , , , , , , , ,N,U6,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERIVCES,16536,0,0,0,0,0,0,0,0,0,7,0,0,0,0,151,210,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013940035,0,323,933456,168557,20a, ,502 273,50603, ,0, ,1, ,1,24v1,t,40.629181,-74.182992, ,0,537.392269,16536.35746,5,2,5,225bfe12025d97720d1fe2a5cbd32086,5,1394,35,5013940035,5013940035,501, ,MC KINLEY AVENUE,MC KINLEY AVENUE, ,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE, ,D, ,933456,168557,40.629181,-74.182992, ,537.392269,16536.35746
6,Polygon,SI,1394,82,501,5032300,50323001012,323,1007,31,49,10303,E158,121,51,100,5,1,4C, GOETHALS ROAD NORTH,M2-1, , , , , , , , , ,N,U2,7,0,X,BROOKLYN UNION GAS COMPANY,5057,0,0,0,0,0,0,0,0,0,7,0,0,0,0,50,100,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013940082,0,323,932859,168940,20a, ,502 273,50603, ,0, ,1, ,1,24v1,t,40.630229,-74.185146, ,0,301.378846,5057.082349,6,0,6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,301.378846,5057.082349
7,Polygon,SI,1396,1,501,5032300,50323001012,323,1007,31,49,10303,E158,121,51,100,5,1,4C, MC KINLEY AVENUE,M2-1, , , , , , , , , ,N,U6,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,9576,0,0,0,0,0,0,0,0,0,7,0,0,0,0,100,113,0,0,N,0,N,3,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013960001,0,323,933608,168754,20a, ,502 273,50603, ,0, ,1,1,1,24v1,t,40.629722,-74.182446, ,0,419.186759,9575.822516,7,2,7,70bf4158450d33988154be9f86e345dc,5,1396,1,5013960001,5013960001,501, ,MC KINLEY AVENUE,MC KINLEY AVENUE, ,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE, ,D, ,933608,168754,40.629723,-74.182446, ,419.186759,9575.822516
8,Polygon,SI,1396,11,501,5032300,50323001013,323,1007,31,49,10303,E158,121,51,100,5,1,4C, MC KINLEY AVENUE,M2-1, , , , , , , , , ,N,U6,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,3861,0,0,0,0,0,0,0,0,0,7,0,0,0,0,87,105,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013960011,0,323,933749,168818,20a, ,502 273,50603, ,0, ,1, ,1,24v1,t,40.629899,-74.181938, ,0,288.654151,3860.861407,8,2,8,02571a0d6917d8621bff2857b708dbce,5,1396,11,5013960011,5013960011,501, ,MC KINLEY AVENUE,MC KINLEY AVENUE,STAEN ISLAND RAILWAY,DSBS,852,RAIL LINE,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE", , , ,933749,168818,40.629899,-74.181938, ,288.654151,3860.861407
9,Polygon,SI,1410,5,501,5032300,50323001011,323,1003,31,49,10303,E158,121,51,100,5,1,4C, WESTERN AVENUE,M3-1, , , , , , , , , ,N,V7,11,0,X,PORT AUTHORITY OF NY AND NJ,8760,0,0,0,0,0,0,0,0,0,7,0,0,0,0,80,219,0,0, ,0,Y,5,5,97650,97650,97650,0,0,0, , ,0,0,2,0,5,5014100005,0,323,932415,168996,20a, ,502 273,50603, ,0, ,1,1,1,24v1,t,40.63038,-74.186746, ,0,539.165269,10729.47143,9,0,9,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,539.165269,10729.47143
10,Polygon,SI,1732,45,502,5029102,50291021019,291.02,1019,31,50,10314,E158,121,51,100,5,2,4E, GULF AVENUE,M2-1, , , , , , , , , ,N,V9,11,1,C,NYC DEPARTMENT OF TRANSPORTATION,4316,0,0,0,0,0,0,0,0,0,7,0,0,0,0,90,123,0,0, ,0,Y,5,0,65250,65250,65250,0,0,0, , ,0,0,2,0,5,5017320045,0,29102,934499,163939,20b, ,502 268,50801, ,0, ,1,1,1,24v1,t,40.616511,-74.1792, ,0,512.738077,14489.28627,10,1,10,bca98d22b4e968d1b7e714407c382bd2,5,1732,45,5017320045,5017320045,502, ,GULF AVENUE,GULF AVENUE,WEST SHORE EXPWAY SLOPE ESMNT,DOT,880,ROAD/HIGHWAY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE", , , ,934499,163939,40.616512,-74.1792, ,512.738077,14489.28627
11,Polygon,SI,1732,125,502,5029102,50291021020,291.02,1021,31,50,10314,E158,121,51,100,5,2,4E, GULF AVENUE,M2-1, , , , , , , , , ,N,V1,11,3,X,NYS DEPARTMENT OF ENVIRONMENTAL CONSERVATION,65000,0,0,0,0,0,0,0,0,0,7,0,0,0,0,945,306,0,0, ,0,Y,5,0,815400,815400,815400,0,0,0, , ,0,0,2,0,5,5017320125,0,29102,934980,165876,20d, ,502 268,50801, ,0, ,1,1,1,24v1,t,40.621831,-74.177482, ,0,2233.965839,48932.51416,11,0,11,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2233.965839,48932.51416
12,Polygon,SI,1760,25,502,5029102,50291021030,291.02,1019,31,50,10314,E158,121,51,100,5,2,4E,566 GULF AVENUE,M3-1, , , , , , , , , ,N,E1,6,0, ,"MATRIX/PPF STATEN ISLAND LOT2, LLC.",1448801,450000,450000,0,0,0,0,0,450000,0,2,1,1,0,1,1325,1647,900,500, ,1,Y,5,0,11409300,34696800,0,2019,0,0, , ,0.31,0,2,0,5,5017600025,0,29102,931696,163893,20b, ,502 283,50801, ,5017600025,7/13/2016,1,1,1,24v1, ,40.616369,-74.189296, ,0,6880.205626,1508560.621,12,0,12,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,6880.205626,1508560.621
13,Polygon,SI,1780,22,502,5029102,50291021042,291.02,1045,31,50,10314,Q008,121,51,100,5,2,4E,380 CHELSEA ROAD,M3-1, , , , , , , , , ,N,G9,7,0, ,"I.C. PROPERTIES, LLC",36270,13000,13000,0,1500,4800,6700,0,0,0,2,1,1,0,1,670,125,162.5,80,N,1,Y,5,0,326250,1177650,0,1972,2004,0, , ,0.36,0,2,0,5,5017800022,0,29102,931983,161219,20b, ,502 282,50801, ,0, ,1,1,1,24v1, ,40.609031,-74.188242, ,0,1838.805386,104552.6758,13,0,13,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1838.805386,104552.6758
14,Polygon,SI,1780,85,502,5029102,50291021029,291.02,1037,31,50,10314,Q008,121,51,100,5,2,4E, BLOOMFIELD AVENUE,M3-1, , , , , , , , , ,N,V1,11,1, ,RICHMOND PRECAST INCORPORATED,39700,0,0,0,0,0,0,0,0,0,7,2,0,0,0,146,290,0,0, ,0,Y,5,0,436950,436950,0,0,0,0, , ,0,0,2,0,5,5017800085,0,29102,932016,162202,20b, ,502 282,50801, ,5017800085,10/23/1986,1, ,1,24v1, ,40.611729,-74.18813, ,0,883.065483,44096.1461,14,0,14,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,883.065483,44096.1461
15,Polygon,SI,1780,92,502,5029102,50291021029,291.02,1037,31,50,10314,Q008,121,51,100,5,2,4E,270 CHELSEA ROAD,M3-1, , , , , , , , , ,N,E1,6,0, ,DEGARLIA HOLDINGS LLC,15000,3360,3360,0,0,0,0,3360,0,0,2,1,1,0,1,50,300,48,70,N,1,N,5,0,109350,157500,0,1955,0,0, , ,0.22,0,2,0,5,5017800092,0,29102,932049,162297,20b, ,502 282,50801, ,0, ,1, ,1,24v1, ,40.61199,-74.188012, ,0,707.864998,16363.22179,15,0,15,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,707.864998,16363.22179
16,Polygon,SI,1780,95,502,5029102,50291021029,291.02,1037,31,50,10314,Q008,121,51,100,5,2,4E, BLOOMFIELD AVENUE,M3-1, , , , , , , , , ,N,V1,11,2,C,NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,148104,0,0,0,0,0,0,0,0,0,7,0,0,0,0,355,380,0,0, ,0,Y,5,0,1620450,1620450,1620450,0,0,0, , ,0,0,2,0,5,5017800095,0,29102,932165,162480,20b, ,502 282,50801, ,0, ,1,1,1,24v1,t,40.612493,-74.187596, ,0,1511.89583,142604.5521,16,1,16,ae41ac795850fbfa7d4dd9a99f18eca2,5,1780,95,5017800095,5017800095,502, ,BLOOMFIELD AVENUE,BLOOMFIELD AVENUE, ,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE, , , ,932165,162480,40.612494,-74.187596, ,1511.89583,142604.5521
17,Polygon,SI,1780,112,502,5029102,50291021029,291.02,1037,31,50,10314,Q008,121,51,100,5,2,4E, BLOOMFIELD AVENUE,M3-1, , , , , , , , , ,N,V1,11,0,C,NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,164656,0,0,0,0,0,0,0,0,0,7,0,0,0,0,400,416,0,0, ,0,Y,3,5,2406150,2406150,2406150,0,0,0, , ,0,0,2,0,5,5017800112,0,29102,932286,162863,20b, ,502 282,50801, ,0, ,1,1,1,24v1,t,40.613545,-74.187163, ,0,1641.362338,163797.719,17,1,17,f7083ef9cf1912ebe6b1d0e14f6e017c,5,1780,112,5017800112,5017800112,502, ,BLOOMFIELD AVENUE,BLOOMFIELD AVENUE, ,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE, , , ,932286,162863,40.613546,-74.187163, ,1641.362338,163797.719
18,Polygon,SI,1780,150,502,5029102,50291021029,291.02,1037,31,50,10314,Q008,121,51,100,5,2,4E,220 BLOOMFIELD AVENUE,M3-1, , , , , , , , , ,N,V1,11,2,X,S DIFAZIO & SONS CONSTRUCTION INC,52272,0,0,0,0,0,0,0,0,0,7,1,0,0,0,400,416,0,0, ,0,Y,5,0,655650,655650,655650,0,0,0, , ,0,0,2,0,5,5017800150,0,29102,932420,162481,20b, ,502 282,50801, ,0, ,1,1,1,24v1, ,40.612498,-74.186678, ,0,1817.270953,55472.16139,18,0,18,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1817.270953,55472.16139
19,Polygon,SI,1801,27,502,5029102,50291021052,291.02,1062,31,50,10314,Q008,121,51,100,5,2,4D,422 SPENCER STREET,M3-1, , , , , , , , , ,N,E9,6,0, ,422 SPENCER LLC,19900,3200,3200,0,0,0,0,0,2600,600,2,2,1,0,1,100,199,12,50,N,1,N,5,0,72450,117900,0,2000,0,0, , ,0.16,0,2,0,5,5018010027,0,29102,930013,158480,26a, ,502 287,50801, ,5018010030,12/10/2002,1, ,1,24v1, ,40.601501,-74.195315, ,0,567.48946,17598.04286,19,0,19,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,567.48946,17598.04286
20,Polygon,SI,1801,55,502,5029102,50291021042,291.02,1065,31,50,10314,Q008,121,51,100,5,2,4E, BLOOMFIELD AVENUE,M3-1, , , , , , , , , ,N,U0,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,53717,0,0,0,0,0,0,0,0,0,7,0,0,0,0,85,525,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5018010055,0,29102,931093,160618,20b, ,502 287,50801, ,0, ,1,1,1,24v1,t,40.607376,-74.191442, ,0,1250.720409,53717.34563,20,3,20,18b572e56a2cb5bb6b8bae4dbebbbbf5,5,1801,55,5018010055,5018010055,502, ,BLOOMFIELD AVENUE,BLOOMFIELD AVENUE,SIRTOA R.O.W,DSBS,852,RAIL LINE,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE", , , ,931093,160618,40.607377,-74.191442, ,1250.720409,53717.34563
21,Polygon,SI,1801,100,502,5029102,50291021042,291.02,1065,31,50,10314,Q008,121,51,100,5,2,4E,625 CHELSEA ROAD,M2-1, , , , , , , , , ,N,E7,6,2, ,CHELSEA SOUTH ASSOCIATES LLC,149800,30000,30000,0,0,0,0,30000,0,0,2,13,1,0,1,120,878,20,100,N,0,Y,5,0,623700,958500,0,1997,0,0, , ,0.2,0,2,0,5,5018010100,0,29102,931544,159260,26a,Y,502 287,50801, ,5018010100,12/31/1991,1, ,1,24v1, ,40.603651,-74.189808, ,0,1926.08931,118393.3518,21,0,21,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1926.08931,118393.3518
22,Polygon,SI,1801,125,502,5029102,50291021042,291.02,1065,31,50,10314,Q008,121,51,100,5,2,4E, BLOOMFIELD ROAD,M3-1,M2-1, , , , , , , , ,Y,V1,11,0,X,DEPT OF ENVIRONMENTAL CONSERVATION,199800,0,0,0,0,0,0,0,0,0,7,0,0,0,0,621,816,0,0, ,0,Y,5,5,2506500,2506500,2506500,0,0,0, , ,0,0,2,0,5,5018010125,0,29102,931487,160296,20b, ,502 287,50801, ,5018010100,12/31/1991,1,1,1,24v1, ,40.606495,-74.190021, ,0,3304.053509,193982.8446,22,0,22,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3304.053509,193982.8446
23,Polygon,SI,1801,150,502,5029102,50291021041,291.02,1064,31,50,10314,Q008,121,51,100,5,2,4E,501 INDUSTRY ROAD,M2-1,M3-1, , , , , , , , ,Y,P6,9,0, ,501 INDUSTRY ROAD LLC,136600,39217,39217,0,0,0,0,0,0,39217,2,1,1,0,1,299,457,300,50,N,1,N,5,0,303750,860850,0,1975,2015,0, , ,0.29,0,2,0,5,5018010150,0,29102,931210,159117,26a, ,502 287,50801, ,0, ,1, ,1,24v1, ,40.603257,-74.191009, ,0,1446.133863,133828.2549,23,0,23,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1446.133863,133828.2549
24,Polygon,SI,1815,150,502,5029102,50291021035,291.02,1038,31,50,10314,Q008,121,51,100,5,2,4E, BLOOMFIELD ROAD,M3-1, , , , , , , , , ,N,V1,11,0,C,DEPARTMENT OF PARKS AND RECREATION ATTN: PLANNING & DEVELOPMENT,19551,0,0,0,0,0,0,0,0,0,7,0,0,0,0,106,146,0,0, ,0,Y,5,5,217800,217800,217800,0,0,0, , ,0,0,2,0,5,5018150150,0,29102,931780,162351,20b, ,502 285,50801, ,0, ,1,1,1,24v1, ,40.612137,-74.188982, ,0,555.223784,18554.50219,24,1,24,83297ab31e6f5cce3625ff7f7484fad4,5,1815,150,5018150150,5018150150,502, ,BLOOMFIELD ROAD,BLOOMFIELD ROAD,STATEN ISLAND INDUSTRIAL PARK,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE, , , ,931780,162351,40.612137,-74.188982, ,555.223784,18554.50219
25,Polygon,SI,1815,160,502,5029102,50291021035,291.02,1038,31,50,10314,Q008,121,51,100,5,2,4E,291 CHELSEA ROAD,M3-1, , , , , , , , , ,N,G1,10,0, ,291 CHELSEA ROAD REALTY LLC,80000,2100,2100,0,0,0,0,0,0,2100,2,2,1,0,1,278,421,30,70,N,1,Y,5,0,129600,230400,0,1960,0,0, , ,0.03,0,2,0,5,5018150160,0,29102,931644,162139,20b, ,502 285,50801, ,0, ,1,1,1,24v1, ,40.611554,-74.18947, ,0,1342.637031,88853.4053,25,0,25,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1342.637031,88853.4053
26,Polygon,SI,1815,175,502,5029102,50291021035,291.02,1038,31,50,10314,Q008,121,51,100,5,2,4E, BLOOMFIELD ROAD,M3-1, , , , , , , , , ,N,E2,6,0, ,CHELSEA INDUSTRIAL BUILDINGS LLC,19750,9407,9407,0,0,0,0,0,9407,0,2,1,1,0,1,100,184,98,90, ,1,Y,5,0,189450,272700,0,2022,0,0, , ,0.48,0,2,0,5,5018150175,0,29102,931730,161945,20b, ,502 285,50801, ,0, ,1, ,1,24v1, ,40.611022,-74.189159, ,0,619.495078,21141.29978,26,0,26,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,619.495078,21141.29978
27,Polygon,SI,1815,191,502,5029102,50291021035,291.02,1038,31,50,10314,Q008,121,51,100,5,2,4E, BLOOMFIELD AVENUE,M3-1, , , , , , , , , ,N,G9,7,0, ,WEST SHORE INDUSTRIAL REALTY LLC,2500,1,0,0,0,0,0,0,0,0,2,1,1,0,1,25,100,13,27, ,2,N,5,0,22500,33750,0,2022,0,0, , ,0,0,2,0,5,5018150191,0,29102,931798,161673,20b, ,502 285,50801, ,0, ,1, ,1,24v1, ,40.610276,-74.188912, ,0,254.295389,2546.597938,27,0,27,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,254.295389,2546.597938
28,Polygon,SI,1815,192,502,5029102,50291021035,291.02,1038,31,50,10314,Q008,121,51,100,5,2,4E,355 CHELSEA ROAD,M3-1, , , , , , , , , ,N,E1,6,0, ,403 E 173 LLC,31752,4000,4000,0,0,0,0,4000,0,0,2,2,1,0,1,147,216,40,100,N,1,N,5,0,84600,277200,0,1960,0,0, , ,0.13,0,2,0,5,5018150192,0,29102,931738,161595,20b, ,502 285,50801, ,0, ,1, ,1,24v1, ,40.610062,-74.189127, ,0,739.55906,32514.83174,28,0,28,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,739.55906,32514.83174
29,Polygon,SI,1825,125,502,5029102,50291021035,291.02,1040,31,50,10314,E158,121,51,100,5,2,4E, BLOOMFIELD AVENUE,M3-1, , , , , , , , , ,N,V1,11,1,C,NYC DEPARTMENT OF PARKS AND RECREATION,159429,0,0,0,0,0,0,0,0,0,7,0,0,0,0,356,518,0,0, ,0,Y,5,0,2095650,2095650,2095650,0,0,0, , ,0,0,2,0,5,5018250125,0,29102,930622,163150,20b, ,502 272,50801, ,0, ,1,1,1,24v1,t,40.614323,-74.193159, ,0,511.498218,3970.914447,29,0,29,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,511.498218,3970.914447
30,Polygon,SI,1855,78,502,5029102,50291021021,291.02,1022,31,50,10314,E158,121,51,100,5,2,4E, GULF AVENUE,M2-1, , , , , , , , , ,N,U2,7,0,X,BROOKLYN UNION GAS COMPANY,480044,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,N,0,N,0,5,0,0,0,0,0,0, , ,0,0,2,0,5,5018550078,0,29102,934454,166756,20b,Y,502 249,50801, ,0, ,1,1,1,24v1,t,40.624243,-74.179383, ,0,4104.50102,480044.4989,30,0,30,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4104.50102,480044.4989
31,Polygon,SI,1855,178,502,5029102,50291021020,291.02,1021,31,50,10314,E158,121,51,100,5,2,4E, ,M2-1,M3-1, , , , , , , , ,Y, , ,0, , ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,0,0, , ,0,0,2,0,5,5018550178,0,29102,934297,166426,20b,Y, , , ,0, ,3,1,1,24v1, ,40.623336,-74.179945, ,0,5521.734463,469681.3976,31,0,31,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,5521.734463,469681.3976
