OBJECTID *,Shape *,Borough,Block,Lot,CD,BCT2020,BCTCB2020,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Length,Shape_Area
773,Polygon,QN,3410,150,405,4053901,40539011004,539,1007,24,34,11385,E291,104,46,1600,4,5,3E,64 ONDERDONK AVENUE,M3-1, , , , , , , , , ,N,E9,6,0, ,64 ONDERDONK AVE. LLC,24276,16400,16400,0,0,0,0,16400,0,0,2,1,1,0,1,289.33,169,239.67,133,N,0,Y,3,0,328500,566100,0,1931,0,0, , ,0.68,0,2,0,4,4034100150,0,539,1005928,198786,13b, ,403 061,41802, ,0, ,1, , ,24v1, ,40.712272,-73.921805, ,0,891.131507,31793.17944
774,Polygon,QN,3410,180,405,4053901,40539011004,539,1007,24,34,11385,E291,104,46,1600,4,5,3E,18-27 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,E9,6,0,X,QUEENS RIDGEWOOD REALTY LLC,43370,40000,40000,0,5000,0,0,35000,0,0,2,1,1,0,1,98,430,90,320,E,0,Y,3,0,1060650,2191950,2191950,1930,2002,0, , ,0.92,0,1,2.4,4,4034100180,0,539,1006229,198574,13b, ,403 061,41802, ,0, ,1, , ,24v1, ,40.711689,-73.92072, ,0,1064.021788,43493.11369
775,Polygon,QN,3412,47,405,4053901,40539011005,539,1008,24,34,11385,E291,104,46,1600,4,5,3E,17-10 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,F1,6,0, ,GLADIATOR REALTY EQUITIES LLC,237569,425925,425925,0,0,0,0,0,425925,0,2,2,3,0,6,350.25,672.25,240,600,N,0,Y,3,0,5809050,15376950,0,1949,0,0, , ,1.79,0,1,2.4,4,4034120047,0,539,1006300,197901,13b, ,403 061,41802, ,0, ,1, , ,24v1, ,40.709842,-73.920466, ,0,2061.248801,239538.1983
776,Polygon,QN,3414,2,405,4053901,40539011009,539,1010,24,34,11385,E291,104,46,1600,4,5,3E,18-32 STARR STREET,M1-1, , , , , , , , , ,N,E1,6,0, ,"1831 STARR STREET REALTY, LLC",39200,50000,50000,0,0,0,0,50000,0,0,2,1,1,0,0,196,200,125,200,N,0,N,5,0,705600,2181150,0,1954,0,0, , ,1.28,0,1,2.4,4,4034140002,0,539,1006832,198040,13b, ,403 061,41802, ,0, ,1, , ,24v1, ,40.710222,-73.918547, ,0,797.919157,39787.42
779,Polygon,QN,2611,503,405,4053502,40535021000,535,1004,24,30,11385,E291,104,46,1600,4,5,3E,46-55 METROPOLITAN AVENUE,M3-1, , , , , , , , , ,N,E1,6,0, ,HRS NY REALTY LLC,11502,32400,32400,0,0,0,0,0,32400,0,2,1,4,0,1,103,100,100,95,N,0,Y,5,0,258750,1737900,0,1943,0,0, , ,2.82,0,2,0,4,4026110503,0,535,1005959,199465,13b, ,403 027,41402, ,0, ,1,1,1,24v1, ,40.714135,-73.921691, ,0,518.691397,12150.10018
785,Polygon,QN,3393,179,405,4053901,40539011003,539,1006,24,34,11385,E291,104,46,1600,4,5,3E,75 ONDERDONK AVENUE,M3-1, , , , , , , , , ,N,F9,6,0, ,75 ONDERDONK AVE LLC,63554,42592,42592,0,3500,0,0,0,39092,0,2,1,2,0,1,242,259,242,235,N,2,Y,5,0,860400,1269900,0,1950,2002,2004, , ,0.67,0,2,0,4,4033930179,0,539,1006052,199007,13b, ,403 027,41802, ,4033930023,12/7/1998,1, , ,24v1, ,40.712878,-73.921357, ,0,1028.099071,66211.03068
786,Polygon,QN,3394,1,405,4053901,40539011006,539,1009,24,34,11385,E291,104,46,1600,4,5,3E,157 ONDERDONK AVENUE,M1-1, , , , , , , , , ,N,F5,6,0, ,KIYBAR REALTY CORP,17800,23900,23900,0,0,0,0,0,23900,0,2,1,1.5,0,1,178,100.25,100,90,E,0,N,3,0,140400,720000,0,1957,0,0, , ,1.34,0,1,2.4,4,4033940001,0,539,1006767,198360,13b, ,403 043,41802, ,0, ,1, , ,24v1, ,40.7111,-73.91878, ,0,576.853854,18388.67541
787,Polygon,QN,3395,1,405,4053901,40539011008,539,1003,24,34,11385,E291,104,46,1600,4,5,3E,18-56 TROUTMAN STREET,M1-1, , , , , , , , , ,N,F1,6,0, ,TROUTMAN 888 LLC,20000,15000,15000,0,0,0,0,0,15000,0,2,1,1,0,1,200.17,100.08,153,98,N,0,Y,3,0,489150,544500,46530,1960,1999,0, , ,0.75,0,1,2.4,4,4033950001,0,539,1006963,198208,13b, ,403 043,41802, ,0, ,1, , ,24v1, ,40.710683,-73.918074, ,0,597.061383,19834.27203
789,Polygon,QN,3410,190,405,4053901,40539011004,539,1007,24,34,11385,E291,104,46,1600,4,5,3E,18-13 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,E1,6,0, ,"EMJAY ASSOCIATES,LLC",58200,56452,56452,0,0,0,0,56452,0,0,2,1,1,0,5,152.08,465,152,196,E,0,Y,3,0,407250,2994750,0,1947,0,0, , ,0.97,0,1,2.4,4,4034100190,0,539,1006116,198377,13b, ,403 061,41802, ,0, ,1, , ,24v1, ,40.711149,-73.921128, ,0,1165.123,59752.18266
1819,Polygon,QN,37,25,402,4000104,40001041022,1,1020,30,26,11101,L115,108,41,720,4,2,3B,10-40 BORDEN AVENUE,M3-2, , , , , , , , , ,N,F9,6,2, ,"AEC REALTY HOLDINGS, LLC",16667,15000,15000,0,1000,0,0,0,14000,0,2,1,1,0,2,215,78.25,185,68,N,1,N,5,0,365850,579600,0,1960,0,0, , ,0.9,0,2,0,4,4000370025,0,1,997338,209176,9b, ,401 017,40101, ,0, ,1,1,1,24v1, ,40.740807,-73.95277, ,0,592.933982,17545.0106
1820,Polygon,QN,38,1,402,4000104,40001041023,1,1051,30,26,11101,L115,108,41,720,4,2,3B,53-01 VERNON BOULEVARD,M3-2, , , , , , , , , ,N,E1,6,0, ,"SCHUMAN PROPERTIES,INC",81400,25500,25500,0,0,0,0,0,13500,0,2,2,1,0,3,287,349.08,213,64,N,1,Y,3,0,1098900,3835350,0,1931,1992,0, , ,0.31,0,2,0,4,4000380001,0,1,997006,208962,9b, ,401 017,40101, ,4000380001,9/6/2000,1,1,1,24v1, ,40.74022,-73.953968, ,0,1530.189717,84982.69339
1821,Polygon,QN,38,6,402,4000104,40001041023,1,1051,30,26,11101,L115,108,41,720,4,2,3B,53-17 VERNON BOULEVARD,M3-2, , , , , , , , , ,N,E1,6,0, ,SCHUMAN PROPERTIES DIVISION OF PROPPER M FG CO INC,6300,16551,16551,0,3958,0,0,12593,0,0,2,1,2,0,1,50.74,124.08,50.74,124.08,N,2,N,3,0,85050,707400,0,1998,0,0, , ,2.63,0,2,0,4,4000380006,0,1,996873,208914,9b, ,401 017,40101, ,4000380001,9/6/2000,1,1,1,24v1, ,40.740088,-73.954448, ,0,373.205642,6747.27003
1822,Polygon,QN,38,8,402,4000104,40001041023,1,1051,30,26,11101,L115,108,41,720,4,2,3B,53-21 VERNON BOULEVARD,M3-2, , , , , , , , , ,N,E1,6,0, ,SCHUMAN PROPERTIES INC,6300,7279,7279,0,1179,0,0,6100,0,0,2,1,2,0,1,50.74,124.08,50.74,120.08,N,2,N,3,0,85050,532350,0,1998,0,0, , ,1.16,0,2,0,4,4000380008,0,1,996860,208862,9b, ,401 017,40101, ,4000380001,9/6/2000,1,1,1,24v1, ,40.739945,-73.954495, ,0,376.875076,6969.813158
1823,Polygon,QN,38,16,402,4000104,40001041023,1,1051,30,26,11101,L115,108,41,720,4,2,3B,53-02 11 STREET,M3-2, , , , , , , , , ,N,E9,6,0, ,LUSA REALTY CORP,62170,20550,20550,0,6000,0,6000,0,8550,0,2,2,2,0,4,276,240,90,60,N,1,N,3,0,979200,1435950,0,1931,0,0, , ,0.33,0,2,0,4,4000380016,0,1,997266,208911,9b, ,401 017,40101, ,0, ,1,1,1,24v1, ,40.740079,-73.95303, ,0,1007.634655,62570.44741
1824,Polygon,QN,39,182,402,4000701,40007012018,7,4035,30,26,11101,L115,108,41,720,4,2,3B,11-58 BORDEN AVENUE,M3-2, , , , , , , , , ,N,F9,6,0, ,"51-02 21ST REALTY, LLC",28368,136500,136500,0,0,0,0,20000,116500,0,2,1,7,0,10,235,189,140,90,N,1,Y,3,0,765900,6678000,0,1916,0,0, , ,4.81,0,2,0,4,4000390182,0,7,998036,209187,9b, ,401 022,40101, ,0, ,1,1,1,24v1, ,40.740836,-73.950251, ,0,784.832128,31792.35673
1826,Polygon,QN,65,15,402,4000104,40001041019,1,1029,30,26,11101,L115,108,41,720,4,2,3B,11-24 BORDEN AVENUE,M3-2, , , , , , , , , ,N,E9,6,0, ,"AGILITAS ENERGY, INC",9700,1330,1330,0,0,0,0,1330,0,0,2,1,1,0,1,84,128.53,24,55, ,1,Y,5,0,305550,402300,0,2022,0,0, , ,0.14,0,2,0,4,4000650015,0,1,997813,209023,9b, ,401 022,40101, ,0, ,1,1,1,24v1, ,40.740386,-73.951056, ,0,424.574299,10723.31382
1827,Polygon,QN,65,20,402,4000104,40001041019,1,1029,30,26,11101,L115,108,41,720,4,2,3B,11-40 BORDEN AVENUE,M3-2, , , , , , , , , ,N,E1,6,0, ,"WICKERSHAM REALTY, LLC",40964,36100,36100,0,0,0,0,36100,0,0,2,1,2,0,1,258,128.53,190,156,N,2,Y,5,0,1106100,2511450,0,1960,0,0, , ,0.88,0,2,0,4,4000650020,0,1,997977,208959,9b, ,401 022,40101, ,0, ,1,1,1,24v1, ,40.74021,-73.950464, ,0,872.882403,42925.8283
1831,Polygon,QN,65,57,402,4000104,40001041025,1,1027,30,26,11101,L115,108,41,720,4,2,3B,53-01R 11 STREET,M3-2, , , , , , , , , ,N,E1,6,0, ,PROFOODS RESTAURANT SUPPLY LLC,121700,90000,90000,0,18000,0,0,72000,0,0,2,1,3,0,1,400,290,250,240,N,1,Y,5,0,2637900,5425200,0,1954,0,0, , ,0.74,0,2,0,4,4000650057,0,1,997760,208744,9b, ,401 022,40101, ,0, ,1,1,1,24v1, ,40.73962,-73.951248, ,0,1488.666307,124340.3228
1832,Polygon,QN,68,21,402,4000104,40001041019,1,1029,30,26,11101,E258,108,41,720,4,2,3B,21-32 BORDEN AVENUE,M3-2, , , , , , , , , ,N,E1,6,0, ,21-32 BORDEN AVENUE LLC,30000,25780,25780,0,1930,0,0,0,23850,0,2,1,2,0,1,117,266,110,229,N,0,Y,5,0,675000,1331550,0,1962,0,0, , ,0.86,0,2,0,4,4000680021,0,1,998446,208781,9b, ,401 032,40102, ,0, ,1,1,1,24v1, ,40.739721,-73.948772, ,0,763.419907,31059.30921
1833,Polygon,QN,68,38,402,4000104,40001041019,1,1029,30,26,11101,E258,108,41,720,4,2,3B,23-30 BORDEN AVENUE,M3-2, , , , , , , , , ,N,E9,6,0, ,23-30 BORDEN OWNER LLC,203236,777258,777258,0,191589,0,0,0,585669,0,2,1,5,0,3,654,329,0,0, ,1,Y,5,0,10159650,18653400,0,2022,0,0, , ,3.82,0,2,0,4,4000680038,0,1,998825,208657,9b, ,401 032,40102, ,0, ,1,1,1,24v1, ,40.73938,-73.947405, ,0,1921.070527,205185.667
1834,Polygon,QN,68,55,402,4000104,40001041019,1,1029,30,26,11101,E258,108,41,720,4,2,3B,25-20 BORDEN AVENUE,M3-2, , , , , , , , , ,N,E9,6,0, ,JOHN P PANTANELLI,114356,71024,71024,0,4524,0,0,0,66500,0,2,4,1,0,1,350,350,215,300,N,0,Y,5,0,1286550,3783600,0,1952,2002,2006, , ,0.62,0,2,0,4,4000680055,0,1,999300,208523,9b, ,401 032,40102, ,0, ,1,1,1,24v1, ,40.739011,-73.945691, ,0,1393.18523,120968.7248
1835,Polygon,QN,68,73,402,4000104,40001041019,1,1029,30,26,11101,E258,108,41,720,4,2,3B,25-30 BORDEN AVENUE,M3-2, , , , , , , , , ,N,E9,6,1, ,25-30 BORDEN AVENUE LLC,35400,13760,13760,0,0,0,0,13760,0,0,2,2,1,0,1,24,370,56,320,N,0,Y,5,0,235350,505350,0,1963,0,0, , ,0.39,0,2,0,4,4000680073,0,1,999529,208440,9b, ,401 032,40102, ,0, ,1,1,1,24v1, ,40.738783,-73.944865, ,0,917.598006,35993.73644
